X√‡,Y√‡,orientation,None,skirt,brim,raft,,,
240 ,330 ,"(240°∆,330°∆)",43.1 ,43.1 ,43.3 ,45.0 ,,,
270 ,330 ,"(270°∆,330°∆)",37.9 ,38.0 ,38.1 ,39.6 ,,,
300 ,330 ,"(300°∆,330°∆)",35.3 ,35.3 ,35.1 ,37.2 ,,,
330 ,330 ,"(330°∆,330°∆)",36.1 ,36.1 ,35.9 ,37.7 ,,,
360 ,330 ,"(360°∆,330°∆)",37.0 ,37.0 ,37.1 ,38.9 ,,,
0 ,360 ,"(0°∆,360°∆)",31.8 ,31.8 ,31.9 ,33.6 ,,,
30 ,360 ,"(30°∆,360°∆)",33.9 ,34.0 ,34.0 ,35.6 ,,,
60 ,360 ,"(60°∆,360°∆)",33.9 ,33.9 ,34.1 ,35.6 ,,,
90 ,360 ,"(90°∆,360°∆)",32.4 ,32.5 ,32.5 ,34.3 ,,,
120 ,360 ,"(120°∆,360°∆)",36.1 ,36.2 ,36.3 ,38.3 ,,,
150 ,360 ,"(150°∆,360°∆)",36.1 ,36.1 ,35.8 ,38.2 ,,,
180 ,360 ,"(180°∆,360°∆)",36.5 ,36.5 ,36.7 ,37.9 ,,,
210 ,360 ,"(210°∆,360°∆)",41.2 ,41.2 ,41.4 ,42.6 ,,,
240 ,360 ,"(240°∆,360°∆)",44.8 ,44.8 ,45.0 ,46.7 ,,,
270 ,360 ,"(270°∆,360°∆)",39.1 ,39.2 ,39.2 ,41.4 ,,,
300 ,360 ,"(300°∆,360°∆)",35.7 ,35.7 ,36.1 ,37.6 ,,,
330 ,360 ,"(330°∆,360°∆)",37.3 ,37.3 ,37.0 ,39.3 ,,,
360 ,360 ,"(360°∆,360°∆)",31.8 ,31.8 ,31.9 ,33.6 ,,,
