mesh,group,ranking,top_k,local_cell_count,local_budget_fraction,tomo_best_vss,local_best_ratio
Group_C8_kidney_12k,C,rtilde,20,3314,0.02542951634809432,969.2408575499353,1.1041639163839514
Group_D10_37416,D,tuned,5,1705,0.013083079472993609,1992.4407901842733,1.179458411518711
Group_D10_37416,D,tuned,10,1997,0.015323700708251165,1992.4407901842733,1.0542852468356594
Group_D10_37416,D,tuned,20,3346,0.025675063880725286,1992.4407901842733,1.0538837377896222
Group_D10_37416,D,rtilde,5,1699,0.013037039310625302,1992.4407901842733,1.0849814045560275
Group_D10_37416,D,rtilde,10,1936,0.014855625724173387,1992.4407901842733,1.0849814045560275
Group_D10_37416,D,rtilde,20,3136,0.024063658197834577,1992.4407901842733,1.0039751620669384
Group_D1_37009,D,tuned,5,2117,0.016244503955617284,277.04001827673477,71.58443069812793
Group_D1_37009,D,tuned,10,3800,0.029158769499927104,277.04001827673477,62.59206345625487
Group_D1_37009,D,tuned,20,6704,0.051442208086187186,277.04001827673477,34.03656384860017
Group_D1_37009,D,rtilde,5,1207,0.009261745996424214,277.04001827673477,2.9904706932337577
Group_D1_37009,D,rtilde,10,1911,0.014663791714305445,277.04001827673477,1.711088608472725
Group_D1_37009,D,rtilde,20,3426,0.0262889327123027,277.04001827673477,1.5414380763978157
Group_D6_37111,D,tuned,5,1899,0.014571711389568833,6638.081113169016,3.7618924468693065
Group_D6_37111,D,tuned,10,3673,0.02818425272979796,6638.081113169016,3.044432559581246
Group_D6_37111,D,tuned,20,6691,0.05134245440105586,6638.081113169016,2.190105502608383
Group_D6_37111,D,rtilde,5,1816,0.013934822476807269,6638.081113169016,3.167999681795032
Group_D6_37111,D,rtilde,10,2898,0.022237398423891774,6638.081113169016,2.7476138152308125
Group_D6_37111,D,rtilde,20,5485,0.042088381765026356,6638.081113169016,1.2562188923662048
Group_D7_37137,D,tuned,5,1968,0.015101173256804353,4442.1602871792375,1.1263621843831357
Group_D7_37137,D,tuned,10,3366,0.025828531088619638,4442.1602871792375,1.1263621843831357
Group_D7_37137,D,tuned,20,6012,0.046132242693042565,4442.1602871792375,1.1263621843831357
Group_D7_37137,D,rtilde,5,1248,0.009576353772607639,4442.1602871792375,4.971831527880984
Group_D7_37137,D,rtilde,10,1772,0.01359719461943969,4442.1602871792375,4.971831527880984
Group_D7_37137,D,rtilde,20,2933,0.022505966037706892,4442.1602871792375,1.6424263984350023
