stem,family,group_id,angle_step,critical_angle,grid_path,candidate_path,has_candidate,candidate_count,tomo_best_vss,usable,skip_reason
Group_C5_lucy_50k,C,C5,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,True,1292,10036.132552407005,True,usable
Group_D10_37416,D,D10,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D10_37416_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D10_37416_candidates.csv,True,1292,1619.9202576944651,True,usable
Group_D10_37416,D,D10,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D10_37416_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D10_37416_candidates.csv,True,1292,-785.2000022722669,False,nonpositive_tomo_best
Group_D10_37416,D,D10,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D10_37416_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D10_37416_candidates.csv,True,1292,-1786.600090255422,False,nonpositive_tomo_best
Group_D10_37416,D,D10,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D10_37416_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D10_37416_candidates.csv,True,1292,-2258.7601310950668,False,nonpositive_tomo_best
Group_D10_65942,D,D10,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D10_65942_tomo_int3_3deg_0deg.npz,,False,,63329.99221549546,False,missing_candidate_csv
Group_D10_65942,D,D10,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D10_65942_tomo_int3_3deg_30deg.npz,,False,,19956.567070700905,False,missing_candidate_csv
Group_D10_65942,D,D10,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D10_65942_tomo_int3_3deg_45deg.npz,,False,,4784.303263199231,False,missing_candidate_csv
Group_D10_65942,D,D10,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D10_65942_tomo_int3_3deg_60deg.npz,,False,,-1289.6189019699727,False,missing_candidate_csv
Group_D1_37009,D,D1,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D1_37009_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D1_37009_candidates.csv,True,1292,65813.50988592983,True,usable
Group_D1_37009,D,D1,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D1_37009_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D1_37009_candidates.csv,True,1292,4729.440389585889,True,usable
