mesh,group,split,optimum_sign_class,ratio_defined,tomo_best_yaw_deg,tomo_best_pitch_deg,tomo_best_vss,bbox_volume,nn_frac,score_cv,fixed_route,selected_source,verification_count,escalated,selected_yaw_deg,selected_pitch_deg,selected_vss,ratio_to_exhaustive_optimum,sftf_ave_vss,uniform_ave_vss,selected_branch_has_lower_surrogate_excess,sftf_grid_range_normalized_regret,uniform_grid_range_normalized_regret,grid_min_vss,grid_max_vss,grid_range_vss,surrogate_excess_vss,absolute_surrogate_error_vss,bbox_normalized_surrogate_excess,grid_range_normalized_regret,selected_grid_strictly_better_fraction,selected_value_tie_fraction,global_optimum_plateau_fraction,selected_is_global_optimum,nonnegative_clipped_excess_vss
Group_E2_45809,E,recovered_mesh,positive,True,352.0000006883735,334.9999876932919,37.00000272432634,238307.60169653382,0.9,0.17180012474038733,SFTF,calibrated SFTF axes (up to 200),10,False,183.00000167734436,178.00000267657154,39.000002559551525,1.0540540456206573,39.000002559551525,45.00000206522705,True,0.0007136144129440015,0.002854457651775998,37.00000272432634,2839.6337485510458,2802.6337458267194,1.9999998352251822,1.9999998352251822,8.39251379723936e-06,0.0007136144129440015,7.673360394717659e-06,1.5346720789435318e-05,7.673360394717659e-06,False,1.9999998352251822
Group_E2_790253,E,calibration,positive,True,158.00000667348027,200.99999534805082,67435.0489856648,2493061.5015043365,0.85,2.490002543307715,uniform,first 200 farthest-point uniform axes,50,True,22.000000043023345,338.9999923580615,74583.8051238446,1.1060095046375582,129799.860759714,74583.8051238446,True,0.06312714890638348,0.007236141349473018,67435.0489856648,1055358.8322462584,987923.7832605935,7148.7561381798005,7148.7561381798005,0.00286746080426262,0.007236141349473018,5.371352276302361e-05,7.673360394717659e-06,7.673360394717659e-06,False,7148.7561381798005
Group_E3_45811,E,calibration,nonpositive,False,356.9999996891463,0.9999999922536332,0.0,237927.18433339742,0.0,0.13937542697808117,uniform,first 200 farthest-point uniform axes,10,False,356.9999996891463,0.9999999922536332,0.0,,0.0,0.0,True,0.0,0.0,0.0,17631.800706721533,17631.800706721533,0.0,0.0,0.0,0.0,0.0,2.3020081184152977e-05,2.3020081184152977e-05,True,0.0
Group_E3_931902,E,calibration,nonpositive,False,323.00000101973984,0.0,0.0,522078.9279243083,0.1,0.12919677120245437,uniform,first 200 farthest-point uniform axes,10,False,12.000000333930423,36.99999875288908,4.880000406121912,,1239.3200939351862,4.880000406121912,True,0.03478765862505831,0.00013698138927068285,0.0,35625.28042753866,35625.28042753866,4.880000406121912,4.880000406121912,9.347246450884188e-06,0.00013698138927068285,8.440696434189424e-05,7.673360394717659e-06,6.138688315774127e-05,False,4.880000406121912
Group_E4_439142,E,calibration,positive,True,86.99999900590097,221.99999934752364,19892.645276282445,1786708.3033145247,0.55,0.1836936837334037,uniform,first 200 farthest-point uniform axes,200,True,86.99999900590097,221.99999934752364,19892.645276282445,1.0,19951.359299588796,19892.645276282445,True,0.0004029197143459116,0.0,19892.645276282445,165614.04141512784,145721.3961388454,0.0,0.0,0.0,0.0,0.0,7.673360394717659e-06,7.673360394717659e-06,True,0.0
Group_E4_46012,E,recovered_mesh,positive,True,137.99999701001067,1.9999999845072665,13244.542208584871,1799989.672199241,0.85,0.3687572967261509,SFTF,calibrated SFTF axes (up to 200),10,False,356.0000053531431,173.00000367579872,14379.831385021367,1.085717509790608,14379.831385021367,13249.584465972648,False,0.08695930730965205,0.0003862198449687856,13244.542208584871,26299.9495198904,13055.40731130553,1135.2891764364958,1135.2891764364958,0.0006307198279917857,0.08695930730965205,0.0016727925660484496,7.673360394717659e-06,7.673360394717659e-06,False,1135.2891764364958
Group_E5_55280,E,calibration,positive,True,250.9999990161573,209.99999901359323,35028.122673349935,3269532.0348861273,0.45,0.3744867386577359,uniform,first 200 farthest-point uniform axes,200,True,250.9999990161573,209.99999901359323,35028.122673349935,1.0,40210.70811374128,35028.122673349935,True,0.01812281024144678,0.0,35028.122673349935,320998.4204000678,285970.2977267179,0.0,0.0,0.0,0.0,0.0,7.673360394717659e-06,7.673360394717659e-06,True,0.0
Group_E6_59197,E,calibration,nonpositive,False,0.0,0.0,0.0,42.29683001894943,0.65,0.10993100179244306,uniform,first 200 farthest-point uniform axes,10,False,0.0,0.0,0.0,,0.0,0.0,True,0.0,0.0,0.0,46.56000971055228,46.56000971055228,0.0,0.0,0.0,0.0,0.0,0.9694139854666554,0.9694139854666554,True,0.0
Group_E7_61384,E,calibration,positive,True,326.0000113485062,24.000000667860846,987.2800062510593,252086.3577101626,0.8,0.8107126814296234,SFTF,calibrated SFTF axes (up to 200),50,True,327.0000056845094,25.00000012650595,1148.3999815854158,1.1631958252108923,1148.3999815854158,1106.1599924544657,False,0.0038224409029253524,0.0028203313764175184,987.2800062510593,43138.35033700486,42151.0703307538,161.11997533435658,161.11997533435658,0.0006391459529896694,0.0038224409029253524,6.906024355245893e-05,7.673360394717659e-06,7.673360394717659e-06,False,161.11997533435658
Group_E8_64445,E,calibration,nonpositive,False,50.0000002530119,195.00000201127477,0.0,4244769.709943072,0.5,0.8676400518474979,uniform,first 200 farthest-point uniform axes,10,False,231.99999734906928,15.000000417413029,4.182468382436359,,608.1308988828516,4.182468382436359,True,0.004756025465935948,3.2709941517329766e-05,0.0,127865.3580050115,127865.3580050115,4.182468382436359,4.182468382436359,9.853228015265997e-07,3.2709941517329766e-05,1.5346720789435318e-05,3.836680197358829e-05,1.5346720789435318e-05,False,4.182468382436359
