mesh,coarse_count,top_k,window_degrees,candidate_pool_size,elapsed_sec,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,pool_oracle_vss,pool_oracle_ratio,pool_hard_case,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_cell_count,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,local_hard_case
Group_C2_manikin.ply,2048,20,10.0,2828,2.112278200002038,192.99999967889,7.000000052497138,4657.721223909993,4942.041290693047,1.0610427402403395,False,15,4.99999985454646,185.99999834573237,6451.321042273656,1.3850809724627529,2974,12.000000333930423,173.99999801180195,5016.0810967122225,1.0769388839681133,False
Group_C2_manikin.ply,4096,3,10.0,4876,3.6021770000079414,192.99999967889,7.000000052497138,4657.721223909993,5248.920976623031,1.1269289689726742,False,1,1.9999999845072665,173.99999801180195,8549.24099504455,1.8354986449506234,1323,188.9999950141204,4.99999985454646,5248.920976623031,1.1269289689726742,False
Group_C2_manikin.ply,4096,10,10.0,4876,3.6021770000079414,192.99999967889,7.000000052497138,4657.721223909993,5248.920976623031,1.1269289689726742,False,1,1.9999999845072665,173.99999801180195,8549.24099504455,1.8354986449506234,2871,188.9999950141204,4.99999985454646,5248.920976623031,1.1269289689726742,False
Group_C2_manikin.ply,4096,20,10.0,4876,3.6021770000079414,192.99999967889,7.000000052497138,4657.721223909993,5248.920976623031,1.1269289689726742,False,15,185.99999834573237,4.99999985454646,6738.841041060518,1.4468107293470645,4267,192.99999967889,7.000000052497138,4657.721223909993,1.0,False
Group_C3_dragon_100k_1.5x.ply,512,3,10.0,1292,3.059749299995019,161.99999767787153,257.9999866889366,24446.98002712786,31505.09605722979,1.288711162780426,False,3,12.999999792575526,276.9999883560246,39547.57343639027,1.61768747683787,1241,3.0000000834826057,279.99999868479097,30381.81352221276,1.2427634615195517,False
Group_C3_dragon_100k_1.5x.ply,512,10,10.0,1292,3.059749299995019,161.99999767787153,257.9999866889366,24446.98002712786,31505.09605722979,1.288711162780426,False,6,171.00000134341394,259.0000083456965,31505.09605722979,1.288711162780426,3634,161.99999767787153,257.9999866889366,24446.98002712786,1.0,False
Group_C3_dragon_100k_1.5x.ply,512,20,10.0,1292,3.059749299995019,161.99999767787153,257.9999866889366,24446.98002712786,31505.09605722979,1.288711162780426,False,6,171.00000134341394,259.0000083456965,31505.09605722979,1.288711162780426,6949,161.99999767787153,257.9999866889366,24446.98002712786,1.0,False
Group_C3_dragon_100k_1.5x.ply,1024,3,10.0,1804,4.092516599994269,161.99999767787153,257.9999866889366,24446.98002712786,32620.29600537513,1.3343282470545508,False,1,9.99999970909292,278.0000100127845,38606.817072088066,1.5792059808306624,1323,3.0000000834826057,279.99999868479097,30381.81352221276,1.2427634615195517,False
Group_C3_dragon_100k_1.5x.ply,1024,10,10.0,1804,4.092516599994269,161.99999767787153,257.9999866889366,24446.98002712786,32620.29600537513,1.3343282470545508,False,10,332.00000468528225,279.99999868479097,34546.30039940195,1.4131111638765719,3821,316.00001334696054,279.00000434878774,26844.30445521331,1.098062191134661,False
Group_C3_dragon_100k_1.5x.ply,1024,20,10.0,1804,4.092516599994269,161.99999767787153,257.9999866889366,24446.98002712786,32620.29600537513,1.3343282470545508,False,11,341.00000835082466,276.9999883560246,34194.69407767304,1.3987287607601644,6378,161.99999767787153,257.9999866889366,24446.98002712786,1.0,False
Group_C3_dragon_100k_1.5x.ply,2048,3,10.0,2828,6.239172600005986,161.99999767787153,257.9999866889366,24446.98002712786,31270.907930106172,1.2791317330568466,False,1,347.0000016876007,274.0000053480149,37308.547122419375,1.5261004459863565,1243,342.9999970228311,278.0000100127845,25929.307149461478,1.0606343654998998,False
Group_C3_dragon_100k_1.5x.ply,2048,10,10.0,2828,6.239172600005986,161.99999767787153,257.9999866889366,24446.98002712786,31270.907930106172,1.2791317330568466,False,8,146.00000633954986,260.0000026816997,33141.246511916484,1.355637648296065,3906,342.9999970228311,278.0000100127845,25929.307149461478,1.0606343654998998,False
Group_C3_dragon_100k_1.5x.ply,2048,20,10.0,2828,6.239172600005986,161.99999767787153,257.9999866889366,24446.98002712786,31270.907930106172,1.2791317330568466,False,8,146.00000633954986,260.0000026816997,33141.246511916484,1.355637648296065,7399,342.9999970228311,278.0000100127845,25929.307149461478,1.0606343654998998,False
Group_C3_dragon_100k_1.5x.ply,4096,3,10.0,4876,10.57885510000051,161.99999767787153,257.9999866889366,24446.98002712786,31084.056728142354,1.2714886130577105,False,1,183.00000167734436,259.0000083456965,40469.53611137453,1.6554002198417583,1281,175.00000600818353,260.0000026816997,29427.10080422646,1.203711082987443,False
Group_C3_dragon_100k_1.5x.ply,4096,10,10.0,4876,10.57885510000051,161.99999767787153,257.9999866889366,24446.98002712786,31084.056728142354,1.2714886130577105,False,7,166.99999667864435,257.9999866889366,34292.6624392675,1.4027361416917048,3657,161.99999767787153,257.9999866889366,24446.98002712786,1.0,False
Group_C3_dragon_100k_1.5x.ply,4096,20,10.0,4876,10.57885510000051,161.99999767787153,257.9999866889366,24446.98002712786,31084.056728142354,1.2714886130577105,False,7,166.99999667864435,257.9999866889366,34292.6624392675,1.4027361416917048,6820,161.99999767787153,257.9999866889366,24446.98002712786,1.0,False
Group_C4_happy_50k_0.75x.ply,512,3,10.0,1292,1.5022862000041641,90.99999684048139,110.99999967376182,2112.4674268990507,9185.02058864625,4.348005783042627,True,3,252.99998768816374,289.0000023503334,23727.487926640788,11.232120138046826,1260,261.99999135370615,279.00000434878774,17990.9871629447,8.516574946366944,True
Group_C4_happy_50k_0.75x.ply,512,10,10.0,1292,1.5022862000041641,90.99999684048139,110.99999967376182,2112.4674268990507,9185.02058864625,4.348005783042627,True,3,252.99998768816374,289.0000023503334,23727.487926640788,11.232120138046826,2872,261.99999135370615,279.00000434878774,17990.9871629447,8.516574946366944,True
Group_C4_happy_50k_0.75x.ply,512,20,10.0,1292,1.5022862000041641,90.99999684048139,110.99999967376182,2112.4674268990507,9185.02058864625,4.348005783042627,True,20,279.99999868479097,73.99999750577815,20891.50089862918,9.889620371234027,5938,118.99999534292266,90.99999684048139,3330.4208566334623,1.5765548922675126,False
Group_C4_happy_50k_0.75x.ply,1024,3,10.0,1804,2.0057729999971343,90.99999684048139,110.99999967376182,2112.4674268990507,8320.425167556637,3.938723533252496,True,3,72.00000200358254,249.00001034415084,24826.56999067827,11.752403693685292,1281,226.99999834829646,276.9999883560246,20815.134048461914,9.853469825575973,True
