name,mesh_stem,family,group_id,split_group,source,angle_step,critical_angle,grid_path,candidate_path,tomo_best_vss,oracle_ratio,untuned_J_ratio
Group_D8_37402_3deg_60deg,Group_D8_37402,D,D8,D,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,6918.826379066656,1.0208074947193113,1.414400439257625
Group_D9_37415_3deg_0deg,Group_D9_37415,D,D9,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,60852.917757901276,1.0034764828559655,1.3227158880117003
Group_D9_37415_3deg_30deg,Group_D9_37415,D,D9,D,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,40102.19810422787,1.0,1.4428973082056875
Group_D9_37415_3deg_45deg,Group_D9_37415,D,D9,D,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,25432.10195115775,1.0726958396276893,1.478934561890363
Group_D9_37415_3deg_60deg,Group_D9_37415,D,D9,D,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,11401.427678825441,1.0131994319387143,1.7643841819040422
Group_E10_65942_3deg_0deg,Group_E10_65942,E,E10,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E10_65942_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E10_65942_candidates.csv,63329.99221549546,1.0,1.2342068708371647
Group_E10_65942_3deg_30deg,Group_E10_65942,E,E10,E,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E10_65942_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E10_65942_candidates.csv,19956.567070700905,1.4649504900834533,2.441046178812309
Group_E10_65942_3deg_45deg,Group_E10_65942,E,E10,E,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_E10_65942_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_E10_65942_candidates.csv,4784.303263199231,3.0424286953651345,7.815060054516202
Group_E1_39507_3deg_0deg,Group_E1_39507,E,E1,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E1_39507_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E1_39507_candidates.csv,26384.341815286432,1.0,1.1586110074293867
Group_E1_39507_3deg_30deg,Group_E1_39507,E,E1,E,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E1_39507_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E1_39507_candidates.csv,12513.107504726442,1.0,1.241561619119769
Group_E1_39507_3deg_45deg,Group_E1_39507,E,E1,E,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_E1_39507_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_E1_39507_candidates.csv,6492.921636124288,1.083898525678536,1.8389169003568873
Group_E2_45809_3deg_0deg,Group_E2_45809,E,E2,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E2_45809_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E2_45809_candidates.csv,44756.944514503164,1.003847299837391,1.0468894235222477
Group_E2_45809_3deg_30deg,Group_E2_45809,E,E2,E,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E2_45809_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E2_45809_candidates.csv,23054.57414674365,1.0177750504361158,1.0790967352096437
Group_E2_45809_3deg_45deg,Group_E2_45809,E,E2,E,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_E2_45809_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_E2_45809_candidates.csv,13090.16125261291,1.012412623780782,1.0689734379906186
Group_E2_45809_3deg_60deg,Group_E2_45809,E,E2,E,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_E2_45809_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_E2_45809_candidates.csv,5296.947542300894,1.066308181729581,1.1679040850989748
Group_E3_45811_3deg_0deg,Group_E3_45811,E,E3,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E3_45811_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E3_45811_candidates.csv,61300.46292770007,1.0081760436604241,1.7540731233931948
