policy,mesh_count,mean_local_ratio,median_local_ratio,p80_local_ratio,max_local_ratio,mean_local_cell_count,mean_local_budget_fraction,median_local_budget_fraction,count_ratio_le_1_25,count_ratio_le_1_50,count_ratio_le_2_00,scope
Hybrid 25:75 Rtilde:uniform,8,2.0732064129291006,1.1254221802326725,1.8606484512328316,7.696158411265375,4134.875,0.03172838606210818,0.028928568688085573,6,6,6,C
Hybrid 50:50 Rtilde:uniform,8,2.8458258884938057,1.0975799314176187,1.8889744813948763,13.926352627514152,4140.75,0.03177346705442714,0.02901297565242747,5,6,6,C
Hybrid 75:25 Rtilde:uniform,8,3.2224595495378177,1.0771722724959598,2.025973013773683,16.694668675185028,4139.0,0.03176003867373639,0.028890201886111987,5,5,6,C
SFTF top-20 local,6,6.8519076387554465,1.3522652795756898,2.190105502608383,34.03656384860017,6183.833333333333,0.047450781787534875,0.051062376746648666,2,4,4,D
Uniform matched local,6,1.0903366052433348,1.024546472855579,1.1292247552721497,1.363701930476701,6179.166666666667,0.04741497277235953,0.05103168330506979,5,6,6,D
Random matched local (median),6,1.145305091529986,1.1163100435574669,1.2366445069268033,1.2562188923662048,6174.0,0.04737532707698683,0.0509933165030962,5,6,6,D
Hybrid 25:75 SFTF:uniform,6,1.1047418506762086,1.0586541485132983,1.1292247552721497,1.363701930476701,6163.666666666667,0.04729603568624141,0.050970296421912045,5,6,6,D
Hybrid 50:50 SFTF:uniform,6,1.3059756893125947,1.277348111771151,1.363701930476701,1.7602169730440766,6172.0,0.047359980356197394,0.05099715318329356,2,5,6,D
Hybrid 75:25 SFTF:uniform,6,1.397283366836746,1.3257199434778957,1.3656866827769805,2.186327709114947,6170.833333333333,0.047351028102403554,0.05093192961993846,2,5,5,D
Hybrid 25:75 Rtilde:uniform,6,1.086022771269265,1.0542140479019997,1.0864314725972437,1.3030609379325397,6175.0,0.04738300043738155,0.05103551998526715,5,6,6,D
Hybrid 50:50 Rtilde:uniform,6,1.380921341181857,1.3245552687356097,1.6424263984350023,1.885563015380921,6174.666666666667,0.047380442650583304,0.05094727634072789,2,4,6,D
Hybrid 75:25 Rtilde:uniform,6,1.271547043619002,1.2708137496803615,1.363701930476701,1.6424263984350023,6177.666666666667,0.04740346273176746,0.05101249990408299,2,5,6,D
SFTF top-20 local,9,2.491963647611195,1.236077323980503,4.013222221098449,5.676225147316883,4586.0,0.035190030770175185,0.02648844008256536,5,5,5,E
Uniform matched local,9,1.3642574639237333,1.2162161824826287,1.5921445444081614,2.0994653284243605,4572.777777777777,0.03508857189384503,0.026442399920197052,5,7,8,E
Random matched local (median),9,1.4833107262284861,1.3318209419021156,1.7967313692135884,2.559987128517139,4555.444444444444,0.03495556698033659,0.02635799295585516,4,6,8,E
Hybrid 25:75 SFTF:uniform,9,1.5564449690418758,1.151458473377341,1.5921445444081614,4.015897007168533,4570.0,0.0350672570038597,0.026265912631118545,5,7,8,E
Hybrid 50:50 SFTF:uniform,9,1.9139681413138416,1.4250248925431632,2.6367378329722966,4.015897007168533,4577.0,0.035120970526622726,0.026457746640986487,4,5,5,E
Hybrid 75:25 SFTF:uniform,9,2.219010031688295,1.4250248925431632,3.3455389803577273,5.676225147316883,4579.333333333333,0.0351388750342104,0.026457746640986487,4,5,6,E
Hybrid 25:75 Rtilde:uniform,9,1.6904674623532772,1.4250248925431632,1.9227474947928174,4.015897007168533,4575.0,0.03510562380583329,0.02645007328059177,4,6,7,E
Hybrid 50:50 Rtilde:uniform,9,1.8825930469285521,1.4250248925431632,2.6367378329722966,4.015897007168533,4572.111111111111,0.03508345632024855,0.026465420001381204,4,5,6,E
Hybrid 75:25 Rtilde:uniform,9,2.195287882983369,1.4250248925431632,3.3455389803577273,5.676225147316883,4573.777777777777,0.03509624525423974,0.026396359757828745,4,6,6,E
